mpnn,bb,seq,count,B1,B2,B3
v2,78,3,0,0,0,0
v2,78,4,1,1,0,0
v2,78,5,0,0,0,0
v2,78,6,2,2,0,0
v2,78,7,1,1,0,0
v2,78,8,0,0,0,0
v2,78,9,1,1,0,0
v2,79,0,0,0,0,0
v2,79,1,0,0,0,0
v2,79,2,0,0,0,0
v2,79,3,1,1,0,0
v2,79,4,0,0,0,0
v2,79,5,1,1,0,0
v2,79,6,0,0,0,0
v2,79,7,1,1,0,0
v2,79,8,0,0,0,0
v2,79,9,0,0,0,0
v2,80,0,1,1,0,0
v2,80,1,0,0,0,0
v2,80,2,0,0,0,0
v2,80,3,0,0,0,0
v2,80,4,1,1,0,0
v2,80,5,0,0,0,0
v2,80,6,0,0,0,0
v2,80,7,0,0,0,0
v2,80,8,2,2,0,0
v2,80,9,0,0,0,0
v2,81,0,0,0,0,0
v2,81,1,0,0,0,0
v2,81,2,0,0,0,0
v2,81,3,0,0,0,0
v2,81,4,0,0,0,0
v2,81,5,0,0,0,0
v2,81,6,1,1,0,0
v2,81,7,0,0,0,0
v2,81,8,1,1,0,0
v2,81,9,0,0,0,0
v2,82,0,0,0,0,0
v2,82,1,1,1,0,0
v2,82,2,0,0,0,0
v2,82,3,0,0,0,0
v2,82,4,0,0,0,0
v2,82,5,1,1,0,0
v2,82,6,0,0,0,0
v2,82,7,0,0,0,0
v2,82,8,0,0,0,0
v2,82,9,0,0,0,0
v2,83,0,2,2,0,0
v2,83,1,1,1,0,0
v2,83,2,0,0,0,0
v2,83,3,0,0,0,0
v2,83,4,2,2,0,0
v2,83,5,0,0,0,0
v2,83,6,1,1,0,0
v2,83,7,0,0,0,0
v2,83,8,0,0,0,0
v2,83,9,0,0,0,0
v2,84,0,0,0,0,0
v2,84,1,0,0,0,0
v2,84,2,0,0,0,0
v2,84,3,0,0,0,0
v2,84,4,1,1,0,0
v2,84,5,0,0,0,0
v2,84,6,2,2,0,0
v2,84,7,0,0,0,0
v2,84,8,1,1,0,0
v2,84,9,1,1,0,0
v2,85,0,0,0,0,0
v2,85,1,1,1,0,0
v2,85,2,0,0,0,0
v2,85,3,0,0,0,0
v2,85,4,0,0,0,0
